state,fips,district,Income (In 2011 Inflation-Adjusted Dollars):Median Household Income,Income (In 2011 Inflation-Adjusted Dollars):Median Household IncomeMOE,Housing Occupancy:Occupied Housing Units,Housing Occupancy:Occupied Housing UnitsMOE,Housing Occupancy:Total Housing Units,Housing Occupancy:Total Housing UnitsMOE,Housing Occupancy:Vacant Housing Units,Housing Occupancy:Vacant Housing UnitsMOE,Age:10 to 14 years,Age:10 to 14 yearsMOE,Age:15 to 19 years,Age:15 to 19 yearsMOE,Age:20 to 24 years,Age:20 to 24 yearsMOE,Age:25 to 34 years,Age:25 to 34 yearsMOE,Age:35 to 44 years,Age:35 to 44 yearsMOE,Age:45 to 54 years,Age:45 to 54 yearsMOE,Age:5 to 9 years,Age:5 to 9 yearsMOE,Age:55 to 59 years,Age:55 to 59 yearsMOE,Age:60 to 64 years,Age:60 to 64 yearsMOE,Age:65 years and over,Age:65 years and overMOE,Age:Total Population,Age:Total PopulationMOE,Age:Under 5 years,Age:Under 5 yearsMOE,Veteran Status:Civilian Population 18 Years and Over,Veteran Status:Civilian Population 18 Years and OverMOE,Veteran Status:Civilian Veterans,Veteran Status:Civilian VeteransMOE,Sex:Female,Sex:FemaleMOE,Sex:Male,Sex:MaleMOE,Sex:Total Population,Sex:Total PopulationMOE,Educational Attainment:9th to 12th Grade No Diploma,Educational Attainment:9th to 12th Grade No DiplomaMOE,Educational Attainment:Associate's Degree,Educational Attainment:Associate's DegreeMOE,Educational Attainment:Bachelor's Degree,Educational Attainment:Bachelor's DegreeMOE,Educational Attainment:Graduate or Professional Degree,Educational Attainment:Graduate or Professional DegreeMOE,Educational Attainment:High School Graduate (Includes Equivalency),Educational Attainment:High School Graduate (Includes Equivalency)MOE,Educational Attainment:Less than 9th Grade,Educational Attainment:Less than 9th GradeMOE,Educational Attainment:Percent Bachelor's Degree or Higher,Educational Attainment:Percent Bachelor's Degree or HigherMOE,Educational Attainment:Percent High School Graduate or Higher,Educational Attainment:Percent High School Graduate or HigherMOE,Educational Attainment:Population 25 Years and Over,Educational Attainment:Population 25 Years and OverMOE,Educational Attainment:Some College No Degree,Educational Attainment:Some College No DegreeMOE,Race:American Indian and Alaska Native,Race:American Indian and Alaska NativeMOE,Race:Asian,Race:AsianMOE,Race:Black or African American,Race:Black or African AmericanMOE,Race:Native Hawaiian and Other Pacific Islander,Race:Native Hawaiian and Other Pacific IslanderMOE,Race:One Race,Race:One RaceMOE,Race:Some Other Race,Race:Some Other RaceMOE,Race:Total Population,Race:Total PopulationMOE,Race:Two or More Races,Race:Two or More RacesMOE,Race:White,Race:WhiteMOE,Hispanic or Latino Origin:Hispanic or Latino (of any race),Hispanic or Latino Origin:Hispanic or Latino (of any race)MOE,Hispanic or Latino Origin:Not Hispanic or Latino,Hispanic or Latino Origin:Not Hispanic or LatinoMOE,Hispanic or Latino Origin:Total Population,Hispanic or Latino Origin:Total PopulationMOE,Housing Tenure:Occupied Housing Units,Housing Tenure:Occupied Housing UnitsMOE,Housing Tenure:Owner-Occupied Housing Units,Housing Tenure:Owner-Occupied Housing UnitsMOE,Housing Tenure:Renter-Occupied Housing Units,Housing Tenure:Renter-Occupied Housing UnitsMOE,Population:Total Population,Population:Total PopulationMOE
Alabama,01,01,43258,2065,264513,4936,325408,1683,60895,4682,46759,3163,45643,1675,44813,1448,87081,2874,84659,2292,99212,2017,47991,3191,42888,2624,46237,2840,99850,1191,689110,3276,43977,1194,521000,2774,59792,3783,357456,2972,331654,2862,689110,3276,47369,4273,35168,3632,64131,4462,34885,3216,152795,5865,21406,2985,21.5,1,85,1.2,459927,3037,104173,5051,7115,776,9227,1078,193465,2505,112,192,681320,3722,5050,2149,689110,3276,7790,1834,466351,3602,19526,324,669584,3245,689110,3276,264513,4936,184890,4975,79623,4801,689110,3276
Alabama,01,02,41360,1173,257657,3370,307205,3021,49548,3847,45708,3047,47598,2517,46146,2124,88844,3832,88203,2615,92940,2355,44614,2960,43584,2356,40457,2236,98304,1584,678860,7137,42462,1610,511593,5602,70401,3403,349685,4400,329175,4439,678860,7137,53112,3457,36244,2776,60819,3357,32644,3095,144594,4613,26299,2403,20.7,0.9,82.4,0.9,452332,5103,98620,4547,2849,945,6513,2019,201843,6010,17,32,665963,7774,4648,1881,678860,7137,12897,2285,450093,5370,22650,1983,656210,6965,678860,7137,257657,3370,176129,3569,81528,3239,678860,7137
Alabama,01,03,39261,2075,266530,4493,317964,2526,51434,4358,44935,2701,51349,2295,58896,2583,84014,3761,88613,2509,93567,2261,41875,3179,42038,2808,44137,3025,92259,1364,683095,6726,41412,1348,523339,5004,57606,3283,348652,3228,334443,4656,683095,6726,59993,4647,33342,3403,54245,4295,34260,3355,138493,4839,28358,2286,19.9,1.2,80.1,1.1,444628,4353,95937,4939,1854,762,8350,1484,176818,4661,357,450,674333,7101,3866,1549,683095,6726,8762,2024,483088,5687,17352,1637,665743,6673,683095,6726,266530,4493,181132,4689,85398,4070,683095,6726
Alabama,01,04,36336,1463,265226,4142,311781,2111,46555,3966,46844,2589,46268,2425,42009,2224,77353,2606,87234,2448,101165,2609,42206,2536,44103,2121,47496,2244,108380,1324,682029,5217,38971,1536,525033,3750,52752,3228,347716,3460,334313,3500,682029,5217,64573,4491,33111,2583,42153,2591,27410,2461,156407,5365,36877,2944,14.9,0.7,78.2,1.2,465731,4157,105200,4967,4882,943,3236,814,49957,1880,290,363,671249,5433,13629,4752,682029,5217,10780,1741,599255,6873,38248,879,643781,5209,682029,5217,265226,4142,199356,4001,65870,3593,682029,5217
Alabama,01,05,46886,1443,272667,3608,305418,1530,32751,3319,46008,3179,48689,1808,47189,1897,86126,1746,90111,1525,107529,1769,43662,3066,44310,3068,41815,2849,95484,977,691438,105,40515,922,530197,723,60737,4241,352334,1561,339104,1559,691438,105,44940,4071,33041,3099,78189,4300,49823,3548,133856,4627,20946,2127,27.5,1,85.8,1,465375,1654,104580,4574,4358,758,9469,1273,120767,2017,1117,1030,675905,2457,8068,2236,691438,105,15533,2443,532126,2441,33719,4,657719,105,691438,105,272667,3608,195560,4058,77107,3786,691438,105
Alabama,01,06,55897,1460,260763,4245,292125,3493,31362,3490,47722,3141,42701,1841,40937,2482,94234,3881,94977,3416,100800,2400,41671,3027,46512,2918,40779,2655,92160,1947,687709,7571,45216,2648,524183,5615,51807,3484,351988,4701,335721,5576,687709,7571,37338,3755,34421,3412,98627,4526,55979,3770,119051,5559,21818,3062,32.9,1,87.4,0.9,469462,5382,102228,5655,2429,1151,12193,1111,95505,6114,26,50,683301,7570,17726,4400,687709,7571,4408,1160,555422,6581,37601,3003,650108,7157,687709,7571,260763,4245,197623,4820,63140,4162,687709,7571
Alabama,01,07,30327,1175,257190,5273,322298,4657,65108,4361,49130,2939,56022,2176,63420,3075,91959,4286,79489,4153,91796,3376,40392,3048,46686,2784,38340,2739,87353,2576,690499,10883,45912,2697,527565,7930,42658,2344,370496,6294,320003,6649,690499,10883,66499,4734,30835,3176,45324,3669,32043,3276,140254,5786,22218,2422,17.8,1.1,79.6,1.3,435623,7680,98450,4716,921,548,5271,1377,442740,8171,0,190,686219,11141,5512,2357,690499,10883,4280,1315,231775,8356,17108,2967,673391,10267,690499,10883,257190,5273,154527,4736,102663,4321,690499,10883
Alaska,02,00,67825,1948,257330,3380,311182,194,53852,3386,52805,2381,49546,2033,58754,1831,106279,2010,93356,2331,107984,2009,50720,2466,52473,2546,38403,2298,58367,1122,722718,0,54031,875,517799,1913,72407,3845,349802,1425,372916,1425,722718,0,23627,2428,34000,2884,77153,3956,43308,3306,128373,4664,13994,1535,26.4,1.3,91.8,0.6,456862,1804,136407,5441,102293,3803,37971,2083,23143,2072,7785,727,662489,4733,8599,1933,722718,0,60229,4733,482698,2741,41627,180,681091,180,722718,0,257330,3380,162312,3867,95018,4471,722718,0
Arizona,04,01,43377,2122,242220,6862,329406,5309,87186,4906,51484,3667,61402,4642,50813,4679,83956,5503,86718,5237,92599,4919,50171,4419,45486,3907,47294,4634,104529,5243,724868,12588,50416,3663,540402,10139,58899,4822,364484,7553,360384,8180,724868,12588,40572,4012,39921,4275,67429,5202,40735,4030,129377,7716,27020,3137,23.5,1.4,85.3,1.1,460582,8825,115528,5977,168440,5250,12121,2850,17214,4874,1154,735,702960,12402,39529,6729,724868,12588,21908,3296,464502,12662,147762,9350,577106,13102,724868,12588,242220,6862,171103,6007,71117,5075,724868,12588
Arizona,04,02,44921,1662,293717,5202,345036,4966,51319,4690,40183,3502,42032,3231,53329,3061,93719,4159,81400,3849,98396,3914,42070,3504,52057,3177,49839,3340,127862,3354,722918,12995,42031,2555,565374,8793,85047,5539,367524,7461,355394,7773,722918,12995,30478,3474,46607,4580,91307,5292,60937,3559,114358,5882,19431,2674,30.3,1.2,90.1,0.7,503273,7904,140155,6066,6628,1760,22119,2805,29734,3292,1912,357,694210,13440,42554,6844,722918,12995,28708,4834,591263,14314,191254,10503,531664,7420,722918,12995,293717,5202,179167,4996,114550,4394,722918,12995
Arizona,04,03,37771,2113,219458,7320,262341,7227,42883,4458,57296,4238,60282,5073,63572,4893,104079,6033,90657,5696,81414,5071,56547,5578,36274,3453,30952,2864,67615,4625,707336,19920,58648,5100,499028,14567,42111,4059,350194,12503,357142,10699,707336,19920,59239,5629,26810,3290,40484,4150,24632,3181,113025,8574,50578,5222,15.8,1.3,73.3,1.6,410991,12910,96223,6124,37627,7023,10448,2822,31759,6274,450,363,690117,20962,101566,11239,707336,19920,17219,4298,508267,21990,432402,17161,274934,15782,707336,19920,219458,7320,140602,6638,78856,5142,707336,19920
Arizona,04,04,40802,1881,268113,8005,370165,5642,102052,7823,40610,4724,39905,3545,36995,4085,76468,6172,76551,6015,87294,4392,47841,5921,45621,4235,55306,4670,157751,4414,707750,16778,43408,4058,547790,12203,88142,5190,344269,9117,363481,10572,707750,16778,44971,4504,43548,5356,60101,5950,28466,3646,148135,7984,20542,3356,17.7,1.5,86.9,1.2,498991,9885,153228,8883,15839,5198,4942,1205,12164,4468,779,448,679977,16479,31601,6661,707750,16778,27773,6239,614652,15582,137409,10765,570341,14961,707750,16778,268113,8005,195244,6883,72869,5229,707750,16778
Arizona,04,05,60624,1939,254995,6261,295248,6429,40253,4743,64260,6793,45035,4747,36534,3783,89304,7662,101130,6125,93755,6227,57063,5992,36462,3452,36473,3346,104536,6038,711895,14658,47343,4931,513699,10875,57461,4476,365862,9684,346033,10218,711895,14658,21835,3189,45212,5292,102899,8603,50109,4913,100259,6929,12831,2468,33.1,1.8,92.5,0.9,461660,10501,128515,6853,9809,3173,27220,5125,24564,7541,767,573,690079,16101,23482,6252,711895,14658,21816,4632,604237,17747,131165,15151,580730,14728,711895,14658,254995,6261,182970,6431,72025,5735,711895,14658
Arizona,04,06,58582,3025,297654,6115,351355,7579,53701,5233,48601,5040,50595,4505,39511,4579,97663,6912,107937,5717,104598,5003,43919,3846,51833,4001,45355,3606,108717,6132,743752,17377,45023,4910,573588,12677,51661,3997,379702,11000,364050,10323,743752,17377,27712,3371,41659,4460,126909,7643,76165,5044,105937,7384,17441,3173,39.3,1.5,91.3,0.9,516103,10969,120280,6958,12833,3256,31289,4777,17780,4133,416,316,726399,16978,19836,5710,743752,17377,17353,3962,644245,15784,112437,11926,631315,15521,743752,17377,297654,6115,191466,5720,106188,5646,743752,17377
